date,category,title,description,sha,date_dt,event_id
2026-05-28,Bug fix,PDE loss masked above species w_max,Inactive size bins above the species maximum weight stopped contributing to the PDE loss. Losses before and after this fix are not directly comparable.,e1d7578,2026-05-28,G1
2026-06-01,Input and loss change,New fixture format and recruitment-loss repairs,"The single-species fixture/data were replaced or reformatted, the recruitment loss was repaired, and an implementation syntax/diagnostic error was corrected. This is a major comparability break.",d26bf18 / 62840a3 / 85f1167,2026-06-01,G2
2026-06-02,Loss-definition change,Relative recruitment boundary loss changed,The relative BC objective was reformulated to score correct boundary answers more appropriately. The total loss scale and gradient balance changed.,8203fc5,2026-06-02,G3
2026-06-03,Input and model change,Steady-state fixture and constant recruitment BC introduced,A new steady-state input was added and the boundary condition could use constant recruitment. A steady-state target is structurally easier than recovering a changing trajectory.,8779944,2026-06-03,G4
2026-06-04,Input correction,Fixture regenerated to agree with R/mizer plots,"Input arrays were updated to make the Python fixture consistent with the R/mizer comparison plots. This is the strongest Git-history candidate for the later target-data transition, but the commit text does not prove whether the replacement was non-steady-state.",b3de613,2026-06-04,G5
2026-06-11,Training-method change,Expert causal loss and gradient-norm weighting added,"Introduced the causal PDE and expert gradient-norm weighting used by the later baseline and ablation runs. This changes optimisation, not the biological input.",e17b603 / 800cf0c,2026-06-11,G6
2026-06-12,Output/diagnostic change,HPC output mode added,"HPC runs began emitting streamlined loss histories and fixed-grid diagnostics at fixed intervals. This affects which historical runs can be compared at an exact step, but does not change the PDE.",91dd703 / 22ae54f,2026-06-12,G7
2026-07-13,State-parameterisation change,Optional log-U state introduced,The network could represent N = S U and fit log U rather than direct log N. This is a major change in state scaling and optimisation geometry.,6a580c0 / 8091604,2026-07-13,G8
2026-07-15,Residual-definition change,Reference-scaled PDE residual introduced,A reference-scale multiplier was added to the PDE residual. Losses under this formulation have a different mathematical meaning.,caae922 / 282f154,2026-07-15,G9
2026-07-19,Revert,Reference-scaled residual reverted,"The reference-scaled residual implementation was removed, restoring the previous residual definition. Runs from the short interim should not be pooled with either side without checking their commands.",d176787,2026-07-19,G10
2026-07-21,Bug fix,Adaptive weighting calibration and BC gradients fixed,The biological target in the relative recruitment BC was detached and expert-weight calibration was corrected. Loss weights and gradients after this point are not equivalent to earlier runs.,9000fc2,2026-07-21,G11
